,code,listing_date,lot_size,mktcap,offer_price,listing_price,oversub_rate,app_lots_for_one_lot,one_lot_success_rate,last
0,09636.HK,2023/03/10,500,79.09-87.47,16.98-18.78,17.000,1.6,1手,16.600,+0.824%
1,02482.HK,2023/03/09,"1,000",40.42-48.79,2.90-3.50,2.900,22.1,8手,2.750,-2.069%
2,02450.HK,2023/01/20,"1,500",5.04-6.10,1.91-2.31,1.910,11.3,6手,0.700,-44.503%
3,02306.HK,2023/01/19,"3,000",34.02-44.03,3.91-5.06,4.080,27.7,40手,4.910,+47.794%
4,02455.HK,2023/01/17,"2,000",5.10-6.00,1.70-2.00,1.700,7.7,15手,1.240,-25.882%
5,02459.HK,2023/01/17,"2,000",16.41-22.57,1.60-2.20,1.600,8.9,15手,1.940,+11.250%
6,02373.HK,2023/01/16,500,44.55,19.32,19.320,21.1,2手,26.900,+53.468%
7,02411.HK,2023/01/16,500,78.95-97.89,5.00-6.20,5.600,11.2,16手,5.660,+7.143%
8,02458.HK,2023/01/16,400,7.87-9.88,5.70-7.16,6.500,2.4,3手,5.420,-11.538%
9,02147.HK,2023/01/13,"4,000",5.44-6.56,0.68-0.82,0.680,17.3,1手,0.520,-17.647%
10,02402.HK,2023/01/12,50,70.51-89.31,60.00-76.00,60.000,認購不足,1手,60.000,0.000%
11,02469.HK,2023/01/09,500,199.24-207.63,9.50-9.90,9.900,32.9,16手,11.900,+12.121%
12,02425.HK,2022/12/30,"1,000",40.52-48.99,5.79-7.00,6.400,1.1,2手,3.650,0.000%
13,03896.HK,2022/12/30,"2,000",N/A,N/A,N/A,N/A,N/A,2.670,+5.528%
14,06922.HK,2022/12/30,200,45.19,18.90,18.900,1.0,1手,18.420,-6.561%
15,06955.HK,2022/12/30,200,100.84,19.80,19.800,1.1,3手,20.900,0.000%
16,09658.HK,2022/12/30,"1,000",N/A,N/A,N/A,N/A,N/A,20.800,+42.000%
17,02427.HK,2022/12/29,"5,000",5.04-5.99,0.53-0.63,0.530,13.2,12手,3.450,+230.189%
18,06698.HK,2022/12/29,400,101.52-129.39,25.50-32.50,26.500,4.1,4手,96.300,+70.566%
19,00314.HK,2022/12/23,200,141.92,18.60,18.600,7.3,15手,23.100,+34.409%
0,06929.HK,2022/12/23,500,72.84,8.80,8.800,1.0,3手,13.240,+3.977%
1,07855.HK,2022/12/23,"110,000",12.51,10.00,10.000,N/A,N/A,9.990,-100.000%
